Fecha,Estado,Positivos,Positivos_Delta,Sospechosos,Sospechosos_Delta,Negativos,Negativos_Delta,Defunciones_Positivos,Defunciones_Positivos_Delta,Defunciones_Sospechosos,Defunciones_Sospechosos_Delta,Defunciones_Negativos,Defunciones_Negativos_Delta,Positivos_Sintomas_14_Dias,Sospechosos_Sintomas_14_Dias,Negativos_Sintomas_14_Dias,Positivos_Sintomas_7_Dias,Sospechosos_Sintomas_7_Dias,Negativos_Sintomas_7_Dias
2020-04-12,BCN,336,0,490,0,762,0,22,0,9,0,11,0,126,360,113,3,121,1
2020-04-13,BCN,367,31,545,55,790,28,25,3,8,-1,13,2,125,397,111,2,131,3
2020-04-14,BCN,411,44,575,30,840,50,28,3,7,-1,16,3,142,427,122,6,165,6
2020-04-15,BCN,463,52,672,97,872,32,28,0,9,2,16,0,153,515,107,6,225,4
2020-04-16,BCN,504,41,762,90,918,46,30,2,9,0,16,0,148,583,113,22,252,8
2020-04-17,BCN,534,30,899,137,833,-85,32,2,16,7,14,-2,146,691,105,21,245,13
2020-04-18,BCN,608,74,823,-76,855,22,67,35,17,1,17,3,173,606,101,18,198,14
2020-04-19,BCN,679,71,726,-97,898,43,74,7,17,0,18,1,193,524,120,11,130,17
2020-04-20,BCN,740,61,664,-62,943,45,74,0,19,2,19,1,206,466,129,10,98,13
2020-04-21,BCN,914,174,411,-253,1028,85,99,25,9,-10,20,1,297,339,165,12,100,4
2020-04-22,BCN,985,71,378,-33,1123,95,117,18,8,-1,22,2,300,299,173,24,89,10
2020-04-23,BCN,1075,90,354,-24,1148,25,125,8,8,0,26,4,290,293,168,14,107,12
2020-04-24,BCN,1156,81,318,-36,1195,47,145,20,9,1,29,3,259,269,163,11,103,24
2020-04-25,BCN,1197,41,310,-8,1240,45,160,15,10,1,34,5,232,260,167,12,87,27
2020-04-26,BCN,1271,74,278,-32,1271,31,160,0,14,4,36,2,224,232,166,23,54,36
2020-04-27,BCN,1301,30,326,48,1287,16,165,5,20,6,37,1,201,275,148,10,66,14
2020-04-28,BCN,1391,90,490,164,1314,27,184,19,17,-3,38,1,201,426,131,13,150,12
2020-04-29,BCN,1495,104,585,95,1357,43,213,29,9,-8,39,1,225,506,138,13,182,5
2020-04-30,BCN,1557,62,688,103,1380,23,220,7,13,4,45,6,234,593,141,26,202,16
2020-05-01,BCN,1569,12,812,124,1383,3,231,11,23,10,45,0,202,693,114,16,211,10
2020-05-02,BCN,1582,13,869,57,1393,10,236,5,27,4,45,0,173,722,103,12,196,12
2020-05-03,BCN,1660,78,760,-109,1428,35,239,3,32,5,45,0,189,624,115,10,147,9
2020-05-04,BCN,1808,148,682,-78,1437,9,252,13,38,6,48,3,221,541,101,14,144,13
2020-05-05,BCN,1989,181,586,-96,1510,73,290,38,20,-18,56,8,299,498,143,21,188,18
2020-05-06,BCN,2097,108,627,41,1560,50,323,33,20,0,57,1,295,526,151,27,214,19
2020-05-07,BCN,2176,79,724,97,1585,25,341,18,25,5,58,1,309,586,143,29,241,14
2020-05-08,BCN,2276,100,780,56,1646,61,362,21,24,-1,62,4,327,645,160,31,229,20
2020-05-09,BCN,2365,89,825,45,1686,40,400,38,30,6,72,10,322,698,153,39,216,28
2020-05-10,BCN,2428,63,818,-7,1722,36,415,15,35,5,75,3,320,673,159,29,210,24
2020-05-11,BCN,2448,20,870,52,1732,10,418,3,36,1,75,0,280,718,141,16,226,17
2020-05-12,BCN,2576,128,906,36,1756,24,439,21,40,4,80,5,341,740,146,28,261,10
2020-05-13,BCN,2764,188,821,-85,1835,79,460,21,43,3,86,6,430,689,183,33,287,23
2020-05-14,BCN,2856,92,815,-6,1959,124,491,31,55,12,90,4,431,652,257,43,247,69
2020-05-15,BCN,3040,184,805,-10,2037,78,514,23,54,-1,92,2,431,652,285,42,268,67
2020-05-16,BCN,3168,128,798,-7,2096,59,539,25,78,24,97,5,429,622,303,57,247,65
2020-05-17,BCN,3255,87,747,-51,2150,54,550,11,87,9,99,2,425,562,316,50,196,53
2020-05-18,BCN,3330,75,736,-11,2197,47,562,12,97,10,104,5,420,522,318,37,180,48
2020-05-19,BCN,3487,157,735,-1,2254,57,579,17,104,7,105,1,451,558,309,36,223,36
2020-05-21,BCN,3780,293,798,63,2343,89,634,55,110,6,116,11,540,590,319,72,279,38
2020-05-22,BCN,3944,164,823,25,2398,55,645,11,107,-3,120,4,555,613,307,74,289,29
2020-05-23,BCN,4097,153,859,36,2444,46,650,5,108,1,122,2,618,640,307,86,325,34
2020-05-24,BCN,4218,121,782,-77,2515,71,693,43,62,-46,157,35,616,573,289,89,285,38
2020-05-25,BCN,4250,32,915,133,2529,14,703,10,67,5,163,6,553,682,241,48,320,30
2020-05-26,BCN,4421,171,909,-6,2586,57,738,35,62,-5,172,9,604,679,238,40,322,29
2020-05-27,BCN,4590,169,913,4,2659,73,771,33,63,1,184,12,632,677,273,44,336,29
2020-05-28,BCN,4777,187,921,8,2745,86,805,34,59,-4,193,9,720,661,320,62,371,41
2020-05-29,BCN,4886,109,918,-3,2853,108,818,13,62,3,196,3,674,636,362,71,321,79
2020-05-30,BCN,5027,141,852,-66,2973,120,861,43,61,-1,205,9,700,552,441,86,253,107
2020-05-31,BCN,5075,48,875,23,3018,45,862,1,65,4,205,0,642,561,449,59,234,75
2020-06-01,BCN,5127,52,931,56,3053,35,868,6,70,5,208,3,555,580,433,39,218,52
2020-06-02,BCN,5231,104,1039,108,3107,54,876,8,74,4,213,5,522,674,425,26,324,37
2020-06-03,BCN,5460,229,1048,9,3184,77,1010,134,59,-15,230,17,542,682,438,42,357,42
2020-06-04,BCN,5604,144,1038,-10,3266,82,1134,124,74,15,244,14,595,645,472,68,344,70
2020-06-05,BCN,5784,180,1084,46,3372,106,1186,52,78,4,262,18,578,725,486,85,373,94
2020-06-06,BCN,5976,192,982,-102,3480,108,1216,30,70,-8,271,9,621,644,508,101,329,119
2020-06-07,BCN,6087,111,878,-104,3560,80,1231,15,61,-9,274,3,612,551,488,98,223,120
