"Fecha","Positivos","Sospechosos","Negativos","Defunciones","Inconsistencias"
"2020-02-27",1,0,0,0,0
"2020-02-28",3,0,0,0,0
"2020-02-29",4,0,0,0,0
"2020-03-01",5,0,0,0,0
"2020-03-02",5,0,0,0,0
"2020-03-03",5,0,0,0,0
"2020-03-04",5,0,0,0,0
"2020-03-05",5,0,0,0,0
"2020-03-06",6,0,0,0,0
"2020-03-07",7,0,0,0,0
"2020-03-08",7,24,0,0,0
"2020-03-09",7,0,0,0,0
"2020-03-10",7,0,0,0,0
"2020-03-11",11,0,0,0,0
"2020-03-12",16,0,0,0,0
"2020-03-13",26,105,0,0,0
"2020-03-14",41,155,0,0,0
"2020-03-15",53,176,0,0,0
"2020-03-16",82,171,0,0,1
"2020-03-17",93,206,0,0,0
"2020-03-18",118,314,0,0,0
"2020-03-19",164,448,0,1,0
"2020-03-20",203,606,0,2,0
"2020-03-21",251,697,0,2,0
"2020-03-22",316,793,0,2,0
"2020-03-23",367,825,0,4,0
"2020-03-24",405,1219,0,5,0
"2020-03-25",475,1656,0,6,0
"2020-03-26",585,2156,0,8,1
"2020-03-27",717,2475,0,12,1
"2020-03-28",848,2623,0,16,1
"2020-03-29",993,2564,0,20,0
"2020-03-30",1094,2752,0,28,0
"2020-03-31",1215,3511,0,29,0
"2020-04-01",1378,3827,0,37,4
"2020-04-02",1510,4653,0,50,2
"2020-04-03",1688,5398,0,60,1
"2020-04-04",1890,5827,9467,79,3
"2020-04-05",2143,5209,10682,94,5
"2020-04-06",2439,6295,11741,125,0
"2020-04-07",2785,15099,7526,141,0
